Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Total Households,Total Owner Occupied,% Owner Occupied
77081,49059.0,29.7,29079.0,17302.0,39.17527874599971,48844.0,2376.0,4.864466464663009
77082,56641.0,33.8,53999.0,30640.0,12.356773362052223,56254.0,23323.0,41.460162832865215
77083,79408.0,33.0,54786.0,20458.0,14.890187386661294,79385.0,55010.0,69.29520690306732
77084,104582.0,33.0,65617.0,26893.0,11.723814805607084,104538.0,68382.0,65.41353383458647
77085,17981.0,33.8,55950.0,20382.0,12.618875479672989,17968.0,13406.0,74.61041852181657
77086,29506.0,29.7,43116.0,15891.0,25.167762488985293,29455.0,18578.0,63.07248344932949
77087,37200.0,30.5,35302.0,15306.0,27.545698924731184,36795.0,18034.0,49.012094034515556
77088,56716.0,33.4,44472.0,17989.0,20.97468086606954,56652.0,35586.0,62.81508155051896
77089,52699.0,34.7,66775.0,25285.0,11.186170515569556,52516.0,35619.0,67.8250437961764
77090,38361.0,28.5,39392.0,21622.0,22.895649227079588,38098.0,9828.0,25.796629744343534
77091,25277.0,35.0,32500.0,18502.0,28.452743600902007,25016.0,10761.0,43.01646945954589
77092,38476.0,33.0,39921.0,21582.0,26.429462522091693,38343.0,12595.0,32.84823827034921
77093,44428.0,29.6,30837.0,12082.0,36.56702980102638,44001.0,25725.0,58.46458035044658
77094,9439.0,41.8,158160.0,67018.0,4.682699438499841,9439.0,7845.0,83.11261786206165
77095,72081.0,36.9,92175.0,37904.0,9.114745910850294,71922.0,55708.0,77.45613303300797
77096,35465.0,36.3,61583.0,41286.0,15.688707176089101,35440.0,18129.0,51.15406320541761
77098,13444.0,34.3,87820.0,80515.0,8.509372210651591,13435.0,4864.0,36.20394491998511
77099,51905.0,31.2,38878.0,17460.0,23.192370677198728,51717.0,22911.0,44.30071349846279
77201,0.0,-666666666.0,-666666666.0,-666666666.0,,0.0,0.0,
77301,31801.0,31.8,40795.0,19277.0,17.864218106348858,30176.0,15369.0,50.93120360551432
77302,19311.0,36.7,63328.0,29280.0,14.691108694526436,19299.0,15714.0,81.42390797450645
77303,19695.0,34.0,52283.0,22379.0,11.942117288651943,19662.0,14565.0,74.0768996032957
77304,28692.0,36.0,60568.0,39215.0,10.358288024536456,28283.0,18175.0,64.26121698546831
77306,11453.0,31.9,44354.0,19994.0,21.05125294682616,11442.0,8758.0,76.54256248907534
77316,21272.0,38.3,86719.0,40673.0,7.794283565250094,21221.0,18999.0,89.52923990386881
77318,15437.0,45.4,61722.0,33766.0,6.85366327654337,15417.0,11155.0,72.35519232016605
77320,35670.0,39.5,48889.0,15857.0,12.604429492570787,23187.0,15171.0,65.42890412731272
77326,15.0,-666666666.0,-666666666.0,,0.0,15.0,15.0,100.0
77327,22430.0,35.8,40636.0,20183.0,21.145786892554614,21798.0,15452.0,70.8872373612258
77328,15863.0,36.0,56991.0,21248.0,14.089390405345773,15863.0,11994.0,75.60990985311732
77331,7667.0,51.5,48398.0,27522.0,16.0949523933742,7606.0,6746.0,88.69313699710754
77334,286.0,38.5,39138.0,,6.293706293706293,286.0,95.0,33.21678321678322
77335,2519.0,47.6,37656.0,27300.0,8.019055180627234,2519.0,1937.0,76.89559348947995
77336,12397.0,35.0,67563.0,31865.0,8.744050980075825,12388.0,8834.0,71.31094607684855
77338,40335.0,31.6,50263.0,21826.0,14.647328622784183,40204.0,23215.0,57.743010645706896
77339,41403.0,38.8,73466.0,37609.0,8.337560080187426,41210.0,28419.0,68.96141713176414
77340,29900.0,27.3,35563.0,17642.0,24.153846153846153,23865.0,10430.0,43.70416928556464
77342,0.0,-666666666.0,-666666666.0,-666666666.0,,0.0,0.0,
77345,29090.0,40.6,128646.0,53140.0,3.1694740460639395,29058.0,26087.0,89.7756211714502
77346,63233.0,33.6,98840.0,39232.0,6.55195862919678,63204.0,53037.0,83.91399278526676
77350,173.0,56.8,-666666666.0,16234.0,10.404624277456648,173.0,170.0,98.26589595375722
77351,33199.0,43.5,45207.0,23005.0,16.949305701978975,29761.0,22754.0,76.45576425523336
77354,35904.0,38.0,79440.0,39144.0,12.68939393939394,35883.0,30611.0,85.30780592481119
77355,27271.0,40.1,83713.0,37189.0,7.594147629349859,27271.0,23573.0,86.43980785449745
77356,25888.0,49.4,77444.0,47397.0,7.262051915945612,25888.0,21165.0,81.75602595797281
77357,24334.0,31.4,47805.0,25169.0,22.067888550998603,24309.0,18751.0,77.13604014973879
77358,5597.0,32.1,51657.0,23958.0,15.990709308558156,5468.0,4037.0,73.82955376737381
77359,418.0,58.9,-666666666.0,22539.0,50.717703349282296,418.0,350.0,83.73205741626795
77360,5084.0,47.6,39956.0,21961.0,19.728560188827696,5072.0,3966.0,78.19400630914826
77362,5546.0,33.9,67023.0,26687.0,19.725928597187163,5523.0,4939.0,89.42603657432555
77363,2705.0,48.2,47826.0,29432.0,8.502772643253234,2705.0,2199.0,81.29390018484288
