latitude,longitude,calczip
29.73558626,-95.64407357,77082
29.75587376,-95.64453709,77077
29.79736993,-95.38183405,77009
29.681288399999996,-95.36652163,77021
29.7607721,-95.34320509999999,77003
29.7797718,-95.4242934,77007
29.75017353,-95.46825418,77056
29.70139513,-95.40211487,77030
29.69690311,-95.40487665,77030
29.89800571,-95.42925492,77088
29.77268977,-95.40951537,77007
29.71253912,-95.38226929999999,77004
29.58020019,-95.15779867,77062
29.88468944,-95.45066076,77088
29.87304308,-95.49576556,77040
29.84715768,-95.41110678,77018
29.81473916,-95.48514553,77055
29.78888318,-95.32201389,77026
29.68911925,-95.46785739,77401
29.79776386,-95.39096842,77009
29.86565781,-95.48037717,77088
29.67305185,-95.41222378,77054
29.88932039,-95.49385827,77086
29.77393334,-95.42487340000001,77007
29.64768594,-95.35620116,77051
29.72206116,-95.55690770000001,77042
29.769703000000003,-95.41057592,77007
29.81595991,-95.38282768,77022
29.67325218,-95.44416035,77025
29.62253477,-95.19755459,77034
29.73563966,-95.64002989,77082
29.81926155,-95.51738739,77080
29.8190708,-95.51939394,77080
29.93050204,-95.39534753,77060
29.582269699999998,-95.21020504,77089
29.71087456,-95.39997094,77030
29.84102619,-95.45771036,77092
29.80888178,-95.37728881,77009
29.73471077,-95.37463379,77006
29.82793047,-95.47651674,77092
29.72527131,-95.38870999,77004
29.74681282,-95.46708686,77056
29.72200035,-95.55797429,77042
29.82884855,-95.3407416,77093
29.78502659,-95.43112945,77008
29.77259261,-95.57593542,77079
29.78049282,-95.57563789,77079
30.05368329,-95.16825225,77345
29.78508592,-95.54398732,77080
29.82828527,-95.42961894,77018
29.70448302,-95.55781562,77036
29.74068842,-95.41071332,77019
29.72466458,-95.41500085,77005
29.82277879,-95.55553437,77043
29.736824100000003,-95.56690987,77042
29.734432199999997,-95.47161103,77056
30.02126968,-95.42834758,77090
29.72799499,-95.5802764,77042
29.86330034,-95.47341155,77088
29.73010831,-95.37624356,77004
29.77695274,-95.397438,77007
29.77107045,-95.18650046,77015
29.80062285,-95.38800058,77009
29.7166055,-95.55799282,77042
29.72649384,-95.51402279,77063
29.73018635,-95.48033907,77081
29.75329792,-95.3716582,77002
29.76231185,-95.36450961,77201
29.983381400000003,-95.28618254,77338
29.75586121,-95.35942841,77010
29.77046967,-95.40946199,77007
29.70229526,-95.35944369,77021
29.851591,-95.50464626,77040
29.70086572,-95.40840843,77030
30.06157306,-95.21921544,77339
29.79428106,-95.54467018,77080
29.72578993,-95.38961035,77004
29.69217677,-95.52742764,77036
29.75553614,-95.38972963,77006
29.6258526,-95.33945471,77048
29.88028138,-95.41624441,77091
29.64736558,-95.46373752,77035
29.73098564,-95.41866304,77098
29.75858154,-95.26565415,77029
29.74243553,-95.38151546,77006
29.66648297,-95.32868203,77033
29.87346628,-95.48045859,77088
29.95552247,-95.55362706,77064
29.70197288,-95.364853,77021
29.77440692,-95.38252222,77201
29.74279972,-95.36976619,77002
29.76692776,-95.38161475,77201
29.7709103,-95.20618441,77547
29.86688606,-95.47279369,77088
29.76253887,-95.36306004,77201
29.75972371,-95.36402132,77201
29.70421602,-95.40665432,77030
29.70369719,-95.40283976,77030
29.93975076,-95.29525753,77396
29.80284116,-95.40586854,77008
29.80155948,-95.44840229,77008
29.75719827,-95.40413670000001,77019
29.68120577,-95.3558808,77033
29.7414466,-95.33479279,77003
29.73020165,-95.41864775,77098
29.75295631,-95.46940623,77056
29.73533051,-95.38982390000001,77006
29.73567777,-95.30678549,77011
29.79374506,-95.34207914,77026
29.75799754,-95.366661,77010
29.80389599,-95.40364067,77008
29.69257926,-95.53023532,77036
29.77100568,-95.30223093,77020
29.73110203,-95.34236138,77003
29.82400708,-95.46221152,77092
29.86335193,-95.45281972,77091
29.76879695,-95.59994506,77079
29.83843802,-95.45994576,77092
29.902338099999998,-95.35504909,77039
29.7494717,-95.58666226,77042
29.85005127,-95.26236308,77078
29.60061492,-95.17696461,77034
29.64730446,-95.50833126,77071
29.72245795,-95.28903964,77012
29.59974286,-95.35127262,77047
29.66261747,-95.43971704,77025
29.79486858,-95.3551406,77009
29.7945918,-95.36721044,77009
29.66930573,-95.5325469,77031
29.75239762,-95.39795233,77019
30.05256839,-95.25165567,77339
30.048993300000003,-95.2160573,77339
29.68825538,-95.49240873,77096
29.71567529,-95.27826692,77012
29.77428634,-95.39865123,77007
29.73695369,-95.3974839,77006
29.81312555,-95.28450014,77028
29.59443288,-95.23020935,77089
29.84285364,-95.29774482,77028
29.80290594,-95.46823116,77092
29.78056516,-95.62991344,77079
29.86388013,-95.29955286,77016
29.69702906,-95.48871623,77081
29.77612309,-95.39743046,77007
29.59049026,-95.46957391,77053
29.77632711,-95.38900753,77007
29.67556562,-95.37627413,77051
29.81083285,-95.51402277,77080
29.77204886,-95.4040452,77007
29.6776924,-95.49337,77096
